2883.8537,2012-11-13
2846.8427,2012-11-14
2836.92975,2012-11-15
2853.0903,2012-11-16
2916.091,2012-11-19
2916.654,2012-11-20
2926.5785,2012-11-21
2966.8372,2012-11-23
2976.8166,2012-11-26
2967.7701,2012-11-27
2991.79472,2012-11-28
3011.9836,2012-11-29
3010.225,2012-11-30
3002.2282,2012-12-03
2996.7367,2012-12-04
2973.6745,2012-12-05
2989.2586,2012-12-06
2978.0466,2012-12-07
2986.988,2012-12-10
3022.33,2012-12-11
3013.8468,2012-12-12
2992.208022,2012-12-13
2971.3718,2012-12-14
3010.6396,2012-12-17
3054.5693,2012-12-18
3044.3817,2012-12-19
3050.409,2012-12-20
3021.0088,2012-12-21
3012.58302,2012-12-24
2990.1191,2012-12-26
2985.938,2012-12-27
2960.3131,2012-12-28
3019.4802,2012-12-31
3112.30151,2013-01-02
3100.566,2013-01-03
3101.6138,2013-01-04
3098.825,2013-01-07
3091.76919,2013-01-08
3105.817808,2013-01-09
3121.7214,2013-01-10
3125.6268,2013-01-11
3117.53928,2013-01-14
3110.7619,2013-01-15
3117.5504,2013-01-16
3136.043039,2013-01-17
3134.6783,2013-01-18
3143.1685,2013-01-22
3153.68259,2013-01-23
3130.41141,2013-01-24
3149.7543,2013-01-25
3154.2605,2013-01-28
3153.62132,2013-01-29
3142.2787,2013-01-30
3142.098,2013-01-31
3179.07389,2013-02-01
3131.14442,2013-02-04
3171.5377,2013-02-05
3168.43604,2013-02-06
3165.1697,2013-02-07
3193.8982,2013-02-08
3192.0012,2013-02-11
3186.47,2013-02-12
3196.8342,2013-02-13
3198.6931,2013-02-14
3192.0238,2013-02-15
3213.5525,2013-02-19
3164.43939,2013-02-20
3131.4787,2013-02-21
3161.8638,2013-02-22
3116.2547,2013-02-25
3129.6014,2013-02-26
3162.2623,2013-02-27
3160.23913,2013-02-28
3169.73222,2013-03-01
3182.06164,2013-03-04
3224.09591,2013-03-05
3222.3668915,2013-03-06
3232.123,2013-03-07
3244.32608,2013-03-08
3252.8554,2013-03-11
3242.3298,2013-03-12
3245.15098,2013-03-13
3258.97795,2013-03-14
3249.0331,2013-03-15
3237.5638,2013-03-18
3229.0797,2013-03-19
3254.1735,2013-03-20
3222.5833,2013-03-21
3244.99008,2013-03-22
3235.2835,2013-03-25
3252.4641,2013-03-26
3256.4893,2013-03-27
3267.48435,2013-03-28
3239.2145,2013-04-01
3254.8933,2013-04-02
3218.6075,2013-04-03
3224.9699,2013-04-04
3203.8196,2013-04-05
3222.2866,2013-04-08
3237.87105,2013-04-09
3297.2206,2013-04-10
3300.202,2013-04-11
3294.9473,2013-04-12
3216.4525,2013-04-15
3264.6444,2013-04-16
3204.6433,2013-04-17
3166.3823,2013-04-18
3206.0271,2013-04-19
3233.56904,2013-04-22
3269.2923,2013-04-23
3269.6488,2013-04-24
3290.0253,2013-04-25
3279.2316,2013-04-26
3307.0247,2013-04-29
3328.8275,2013-04-30
3299.08869,2013-05-01
3340.6066,2013-05-02
3378.633335,2013-05-03
3392.9996,2013-05-06
3396.6734,2013-05-07
3413.2258,2013-05-08
3409.13849,2013-05-09
3436.55858,2013-05-10
3438.77845,2013-05-13
3462.6075,2013-05-14
3471.615,2013-05-15
3465.2296,2013-05-16
3498.9674,2013-05-17
3496.4194,2013-05-20
3502.0941,2013-05-21
3463.2675,2013-05-22
3459.381,2013-05-23
3459.1821,2013-05-24
3488.9119,2013-05-28
3467.5238,2013-05-29
3491.28448,2013-05-30
3455.8643,2013-05-31
3465.3934,2013-06-03
3445.2541,2013-06-04
3401.44401,2013-06-05
3424.08398,2013-06-06
3469.2132,2013-06-07
3473.7223,2013-06-10
3436.96169,2013-06-11
3400.4008,2013-06-12
3445.3907,2013-06-13
3423.5311,2013-06-14
3452.1521,2013-06-17
3482.1439,2013-06-18
3443.214,2013-06-19
3364.5774,2013-06-20
3357.2396,2013-06-21
3320.7938,2013-06-24
3347.8563,2013-06-25
3376.2121,2013-06-26
3401.8882,2013-06-27
3403.2046,2013-06-28
3434.4721,2013-07-01
3433.4007,2013-07-02
3443.6913,2013-07-03
3479.42047,2013-07-05
3484.79346,2013-07-08
3504.2373,2013-07-09
3520.7417,2013-07-10
3578.2978,2013-07-11
3600.0865,2013-07-12
3607.4946,2013-07-15
3598.5158,2013-07-16
3610.0168,2013-07-17
3611.2926,2013-07-18
3587.6169,2013-07-19
3600.3954,2013-07-22
3579.2656,2013-07-23
3579.5878,2013-07-24
3605.1619,2013-07-25
3613.1165,2013-07-26
3599.18502,2013-07-29
3616.49488,2013-07-30
3626.37674,2013-07-31
3675.722244,2013-08-01
3689.54959,2013-08-02
3692.97978,2013-08-05
3665.7723,2013-08-06
3653.9863,2013-08-07
3669.1533,2013-08-08
3660.11478,2013-08-09
3669.9182,2013-08-12
3684.4636,2013-08-13
3669.253,2013-08-14
3606.1649,2013-08-15
3602.7806,2013-08-16
3589.038,2013-08-19
3613.588,2013-08-20
3599.7441,2013-08-21
3638.7102,2013-08-22
3657.8317,2013-08-23
3657.5555,2013-08-26
3578.5442,2013-08-27
3593.3143,2013-08-28
3620.3003,2013-08-29
3589.9093,2013-08-30
3612.5811,2013-09-03
3649.04639,2013-09-04
3658.8174,2013-09-05
3659.9726,2013-09-06
3706.1697,2013-09-09
3729.0303,2013-09-10
3725.0375,2013-09-11
3715.91731,2013-09-12
3722.1524,2013-09-13
3717.8305,2013-09-16
3745.6945,2013-09-17
3783.65,2013-09-18
3789.4049,2013-09-19
3774.7597,2013-09-20
3765.3298,2013-09-23
3768.295569,2013-09-24
3761.1469,2013-09-25
3787.4715,2013-09-26
3781.63265,2013-09-27
3771.5275,2013-09-30
3818.0164,2013-10-01
3815.0521,2013-10-02
3774.3618,2013-10-03
3807.7669,2013-10-04
3770.3876,2013-10-07
3694.8248,2013-10-08
3677.7539,2013-10-09
3760.71098,2013-10-10
3791.913,2013-10-11
3815.2919,2013-10-14
3794.01377,2013-10-15
3839.4124,2013-10-16
3863.108,2013-10-17
3914.3083,2013-10-18
3920.0486,2013-10-21
3929.5398,2013-10-22
3907.1082,2013-10-23
3928.965,2013-10-24
3943.3313,2013-10-25
3940.1638,2013-10-28
3952.3356,2013-10-29
3930.5756,2013-10-30
3919.725,2013-10-31
3922.0116,2013-11-01
3936.6167,2013-11-04
3939.841,2013-11-05
3931.9824,2013-11-06
3857.3144,2013-11-07
3919.2621,2013-11-08
3919.7703,2013-11-11
3919.9458,2013-11-12
3965.5501,2013-11-13
3972.7533,2013-11-14
3985.9245,2013-11-15
3949.0629,2013-11-18
3931.5822,2013-11-19
3921.2385,2013-11-20
3969.153,2013-11-21
3991.6885,2013-11-22
3994.5401,2013-11-25
4017.7486,2013-11-26
4044.78,2013-11-27
4059.8464,2013-11-29
4045.2449,2013-12-02
4037.2083,2013-12-03
4038.0319,2013-12-04
4033.1128,2013-12-05
4062.4946,2013-12-06
4068.7427,2013-12-09
4060.5019,2013-12-10
4003.83706,2013-12-11
3998.4441,2013-12-12
4000.937,2013-12-13
4029.4891,2013-12-16
4023.6594,2013-12-17
4070.0465,2013-12-18
4058.1248,2013-12-19
4104.74188,2013-12-20
4148.9085,2013-12-23
4155.4301,2013-12-24
4167.1949,2013-12-26
4156.60594,2013-12-27
4154.2162,2013-12-30
4176.6045,2013-12-31
4143.0822,2014-01-02
4131.918,2014-01-03
4113.6817,2014-01-06
4153.175,2014-01-07
4165.5992,2014-01-08
4156.1707,2014-01-09
4174.628,2014-01-10
4113.2571,2014-01-13
4183.0643,2014-01-14
4214.91068,2014-01-15
4218.7053,2014-01-16
4197.57864,2014-01-17
4225.7412,2014-01-21
4242.96292,2014-01-22
4218.91237,2014-01-23
4128.19074,2014-01-24
4083.60772,2014-01-27
4097.93639,2014-01-28
4051.48025,2014-01-29
4123.15428,2014-01-30
4103.87707,2014-01-31
3996.92822,2014-02-03
4031.55943,2014-02-04
4011.55894,2014-02-05
